config,sample,mode,seq_len,time,video,audio,chunks,vid/ch,aud/ch(avg),val
interval1.0_maxf64,longest,tti_special_token,1432,192,1024,180,32,32,5.62,ok
interval1.0_maxf64,medium,tti_special_token,1319,192,1024,60,32,32,1.88,ok
interval1.0_maxf64,multiseg_3plus,tti_special_token,1376,192,1024,120,32,32,3.75,ok
interval1.0_maxf64,multiseg_short,tti_special_token,1184,192,896,60,32,28,1.88,ok
interval1.0_maxf64,no_audio,video_only,1064,0,1024,0,0,0,0,ok
interval1.0_maxf64,no_video,text_only,37,0,0,0,0,0,0,ok
interval1.0_maxf64,short,tti_special_token,1253,192,960,60,32,30,1.88,ok
interval1.0_maxf128,long_60s,tti_special_token,2464,192,2112,120,32,66,3.75,ok
interval1.0_maxf128,longest,tti_special_token,2520,192,2112,180,32,66,5.62,ok
interval1.0_maxf128,medium,tti_special_token,2407,192,2112,60,32,66,1.88,ok
interval1.0_maxf128,multiseg_3plus,tti_special_token,2464,192,2112,120,32,66,3.75,ok
interval1.0_maxf128,multiseg_short,tti_special_token,2208,192,1920,60,32,60,1.88,ok
interval1.0_maxf128,no_audio,video_only,2152,0,2112,0,0,0,0,ok
interval1.0_maxf128,no_video,text_only,37,0,0,0,0,0,0,ok
interval1.0_maxf128,short,tti_special_token,2309,192,2016,60,32,63,1.88,ok
interval1.0_maxf256,long_60s,tti_special_token,4192,192,3840,120,32,120,3.75,ok
interval1.0_maxf256,longest,tti_special_token,4248,192,3840,180,32,120,5.62,ok
interval1.0_maxf256,medium,tti_special_token,4135,192,3840,60,32,120,1.88,ok
interval1.0_maxf256,multiseg_3plus,tti_special_token,4192,192,3840,120,32,120,3.75,ok
interval1.0_maxf256,multiseg_short,tti_special_token,4320,192,4032,60,32,126,1.88,ok
interval1.0_maxf256,no_audio,video_only,3880,0,3840,0,0,0,0,ok
interval1.0_maxf256,no_video,text_only,37,0,0,0,0,0,0,ok
interval1.0_maxf256,short,tti_special_token,3461,192,3168,60,32,99,1.88,ok
